,source,edge,target,source_name,edge_name,target_name
0,0,75,1499,user_668,INTERESTED_IN,topic_1499
1,0,75,2414,user_10319,INTERESTED_IN,topic_2414
2,0,75,3056,user_31,INTERESTED_IN,topic_3056
3,0,75,11898,user_2471,INTERESTED_IN,topic_11898
4,0,75,3056,user_13606,INTERESTED_IN,topic_3056
5,0,75,12402,user_5193,INTERESTED_IN,topic_12402
6,0,75,10222,user_3146,INTERESTED_IN,topic_10222
7,0,75,9003,user_3176,INTERESTED_IN,topic_9003
8,0,75,819,user_10909,INTERESTED_IN,topic_819
9,0,75,14173,user_220,INTERESTED_IN,topic_14173
10,0,75,3031,user_12173,INTERESTED_IN,topic_3031
11,0,75,5753,user_1286,INTERESTED_IN,topic_5753
12,0,75,7377,user_3848,INTERESTED_IN,topic_7377
13,0,75,6981,user_13611,INTERESTED_IN,topic_6981
14,0,75,10222,user_4290,INTERESTED_IN,topic_10222
15,0,75,1332,user_14102,INTERESTED_IN,topic_1332
16,0,75,6981,user_9162,INTERESTED_IN,topic_6981
17,0,75,9223,user_4396,INTERESTED_IN,topic_9223
18,0,75,5913,user_3600,INTERESTED_IN,topic_5913
19,0,75,3031,user_6283,INTERESTED_IN,topic_3031
20,0,75,1063,user_3965,INTERESTED_IN,topic_1063
21,0,75,2414,user_11784,INTERESTED_IN,topic_2414
22,0,75,11898,user_13210,INTERESTED_IN,topic_11898
23,0,75,1943,user_9845,INTERESTED_IN,topic_1943
24,0,75,5696,user_12279,INTERESTED_IN,topic_5696
25,0,75,823,user_5556,INTERESTED_IN,topic_823
26,0,75,2029,user_2486,INTERESTED_IN,topic_2029
27,0,75,1499,user_13069,INTERESTED_IN,topic_1499
28,0,75,4994,user_5263,INTERESTED_IN,topic_4994
29,0,75,8662,user_6629,INTERESTED_IN,topic_8662
30,0,75,2029,user_7224,INTERESTED_IN,topic_2029
31,0,75,3031,user_4582,INTERESTED_IN,topic_3031
32,0,75,2414,user_5326,INTERESTED_IN,topic_2414
33,0,75,3056,user_3787,INTERESTED_IN,topic_3056
34,0,75,10154,user_11502,INTERESTED_IN,topic_10154
35,0,75,9065,user_9957,INTERESTED_IN,topic_9065
36,0,75,9851,user_9456,INTERESTED_IN,topic_9851
37,0,75,4617,user_5167,INTERESTED_IN,topic_4617
38,0,75,5913,user_11432,INTERESTED_IN,topic_5913
39,0,75,268,user_11432,INTERESTED_IN,topic_268
40,0,75,3031,user_7666,INTERESTED_IN,topic_3031
41,0,75,2414,user_5102,INTERESTED_IN,topic_2414
42,0,75,11898,user_14537,INTERESTED_IN,topic_11898
43,0,75,2414,user_14537,INTERESTED_IN,topic_2414
44,0,75,11898,user_10248,INTERESTED_IN,topic_11898
45,0,75,1063,user_7923,INTERESTED_IN,topic_1063
46,0,75,12872,user_199,INTERESTED_IN,topic_12872
47,0,75,4994,user_10611,INTERESTED_IN,topic_4994
48,0,75,1063,user_12531,INTERESTED_IN,topic_1063
49,0,75,2414,user_10175,INTERESTED_IN,topic_2414
50,0,75,7377,user_8251,INTERESTED_IN,topic_7377
51,0,75,10060,user_11386,INTERESTED_IN,topic_10060
52,0,75,1943,user_10881,INTERESTED_IN,topic_1943
53,0,75,9034,user_11308,INTERESTED_IN,topic_9034
54,0,75,10060,user_12063,INTERESTED_IN,topic_10060
55,0,75,1943,user_12415,INTERESTED_IN,topic_1943
56,0,75,9034,user_12415,INTERESTED_IN,topic_9034
57,0,75,7124,user_14119,INTERESTED_IN,topic_7124
58,0,75,9003,user_5193,INTERESTED_IN,topic_9003
59,0,75,13752,user_2764,INTERESTED_IN,topic_13752
60,0,75,1332,user_13315,INTERESTED_IN,topic_1332
61,0,75,1499,user_4725,INTERESTED_IN,topic_1499
62,0,75,4994,user_1656,INTERESTED_IN,topic_4994
63,0,75,13506,user_1319,INTERESTED_IN,topic_13506
64,0,75,13398,user_1455,INTERESTED_IN,topic_13398
65,0,75,1943,user_14018,INTERESTED_IN,topic_1943
66,0,75,4994,user_9969,INTERESTED_IN,topic_4994
67,0,75,2414,user_3119,INTERESTED_IN,topic_2414
68,0,75,6981,user_14531,INTERESTED_IN,topic_6981
69,0,75,1063,user_449,INTERESTED_IN,topic_1063
70,0,75,5691,user_950,INTERESTED_IN,topic_5691
71,0,75,14476,user_56,INTERESTED_IN,topic_14476
72,0,75,6980,user_12798,INTERESTED_IN,topic_6980
73,0,75,4617,user_6103,INTERESTED_IN,topic_4617
74,0,75,5691,user_12408,INTERESTED_IN,topic_5691
75,0,75,12330,user_129,INTERESTED_IN,topic_12330
76,0,75,1332,user_1491,INTERESTED_IN,topic_1332
77,0,75,5295,user_8781,INTERESTED_IN,topic_5295
78,0,75,3502,user_12279,INTERESTED_IN,topic_3502
79,0,75,10154,user_10121,INTERESTED_IN,topic_10154
80,0,75,10580,user_5382,INTERESTED_IN,topic_10580
81,0,75,7124,user_6003,INTERESTED_IN,topic_7124
82,0,75,6759,user_12179,INTERESTED_IN,topic_6759
83,0,75,5295,user_5263,INTERESTED_IN,topic_5295
84,0,75,12955,user_6468,INTERESTED_IN,topic_12955
85,0,75,2414,user_9679,INTERESTED_IN,topic_2414
86,0,75,12872,user_1016,INTERESTED_IN,topic_12872
87,0,75,11173,user_7951,INTERESTED_IN,topic_11173
88,0,75,9034,user_11726,INTERESTED_IN,topic_9034
89,0,75,6902,user_4562,INTERESTED_IN,topic_6902
90,0,75,10904,user_11502,INTERESTED_IN,topic_10904
91,0,75,1063,user_291,INTERESTED_IN,topic_1063
92,0,75,10222,user_291,INTERESTED_IN,topic_10222
93,0,75,268,user_8791,INTERESTED_IN,topic_268
94,0,75,10060,user_13893,INTERESTED_IN,topic_10060
95,0,75,7124,user_4975,INTERESTED_IN,topic_7124
96,0,75,14173,user_8499,INTERESTED_IN,topic_14173
97,0,75,11218,user_668,INTERESTED_IN,topic_11218
98,0,75,2882,user_1803,INTERESTED_IN,topic_2882
99,0,75,10222,user_12063,INTERESTED_IN,topic_10222
100,0,75,9003,user_10485,INTERESTED_IN,topic_9003
101,0,75,6981,user_11397,INTERESTED_IN,topic_6981
102,0,75,6980,user_11397,INTERESTED_IN,topic_6980
103,0,75,8662,user_3649,INTERESTED_IN,topic_8662
104,0,75,3031,user_11792,INTERESTED_IN,topic_3031
105,0,75,12897,user_3146,INTERESTED_IN,topic_12897
106,0,75,10060,user_9827,INTERESTED_IN,topic_10060
107,0,75,6759,user_8313,INTERESTED_IN,topic_6759
108,0,75,8662,user_6120,INTERESTED_IN,topic_8662
109,0,75,1943,user_9803,INTERESTED_IN,topic_1943
110,0,75,819,user_1596,INTERESTED_IN,topic_819
111,0,75,5913,user_12905,INTERESTED_IN,topic_5913
112,0,75,5913,user_1455,INTERESTED_IN,topic_5913
113,0,75,1063,user_12037,INTERESTED_IN,topic_1063
114,0,75,268,user_3691,INTERESTED_IN,topic_268
115,0,75,10580,user_10818,INTERESTED_IN,topic_10580
116,0,75,11173,user_6616,INTERESTED_IN,topic_11173
117,0,75,9818,user_56,INTERESTED_IN,topic_9818
118,0,75,1063,user_6962,INTERESTED_IN,topic_1063
119,0,75,3031,user_14207,INTERESTED_IN,topic_3031
120,0,75,9034,user_12279,INTERESTED_IN,topic_9034
121,0,75,1499,user_2213,INTERESTED_IN,topic_1499
122,0,75,2505,user_1507,INTERESTED_IN,topic_2505
123,0,75,10060,user_11758,INTERESTED_IN,topic_10060
124,0,75,9780,user_13554,INTERESTED_IN,topic_9780
125,0,75,10580,user_13145,INTERESTED_IN,topic_10580
126,0,75,14476,user_14503,INTERESTED_IN,topic_14476
127,0,75,9780,user_8042,INTERESTED_IN,topic_9780
128,0,75,5913,user_4642,INTERESTED_IN,topic_5913
129,0,75,160,user_10248,INTERESTED_IN,topic_160
130,0,75,7153,user_6170,INTERESTED_IN,topic_7153
131,0,75,2414,user_3510,INTERESTED_IN,topic_2414
132,0,75,2925,user_10175,INTERESTED_IN,topic_2925
133,0,75,11898,user_676,INTERESTED_IN,topic_11898
134,0,75,1943,user_8850,INTERESTED_IN,topic_1943
135,0,75,14476,user_10942,INTERESTED_IN,topic_14476
136,0,75,1943,user_11448,INTERESTED_IN,topic_1943
137,0,75,242,user_3565,INTERESTED_IN,topic_242
138,0,75,6981,user_3247,INTERESTED_IN,topic_6981
139,0,75,242,user_12415,INTERESTED_IN,topic_242
140,0,75,3056,user_7127,INTERESTED_IN,topic_3056
141,0,75,4994,user_4986,INTERESTED_IN,topic_4994
142,0,75,11898,user_3649,INTERESTED_IN,topic_11898
143,0,75,10060,user_11792,INTERESTED_IN,topic_10060
144,0,75,2414,user_7050,INTERESTED_IN,topic_2414
145,0,75,6902,user_12836,INTERESTED_IN,topic_6902
146,0,75,4994,user_11858,INTERESTED_IN,topic_4994
147,0,75,11898,user_9827,INTERESTED_IN,topic_11898
148,0,75,11898,user_4359,INTERESTED_IN,topic_11898
149,0,75,823,user_1596,INTERESTED_IN,topic_823
150,0,75,12897,user_1582,INTERESTED_IN,topic_12897
151,0,75,216,user_13146,INTERESTED_IN,topic_216
152,0,75,10060,user_11703,INTERESTED_IN,topic_10060
153,0,75,10904,user_13917,INTERESTED_IN,topic_10904
154,0,75,13398,user_8884,INTERESTED_IN,topic_13398
155,0,75,12872,user_11263,INTERESTED_IN,topic_12872
156,0,75,4031,user_14018,INTERESTED_IN,topic_4031
