,source,edge,target,source_name,edge_name,target_name
2059,4622,1,1311,user_0,BOOKMARK,externalResources_11186
2060,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2061,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2062,4622,1,1518,user_0,BOOKMARK,externalResources_9460
2063,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2064,4622,1,1290,user_0,BOOKMARK,externalResources_10088
2065,4622,1,1295,user_0,BOOKMARK,externalResources_10281
2066,4622,1,1476,user_0,BOOKMARK,externalResources_7363
2067,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2068,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2069,4622,1,1436,user_0,BOOKMARK,externalResources_5587
2070,4622,1,1309,user_0,BOOKMARK,externalResources_11056
2071,4622,1,1486,user_0,BOOKMARK,externalResources_8083
2072,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2073,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2074,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2075,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2076,4622,1,1295,user_0,BOOKMARK,externalResources_10281
2077,4622,1,1526,user_0,BOOKMARK,externalResources_9751
2078,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2079,4622,1,1287,user_0,BOOKMARK,externalResources_10052
2080,4622,1,1329,user_0,BOOKMARK,externalResources_12075
2081,4622,1,1520,user_0,BOOKMARK,externalResources_9618
2082,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2083,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2084,4622,1,1501,user_0,BOOKMARK,externalResources_8611
2085,4622,1,1321,user_0,BOOKMARK,externalResources_11621
2086,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2087,4622,1,1354,user_0,BOOKMARK,externalResources_13357
2088,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2089,4622,1,1476,user_0,BOOKMARK,externalResources_7363
2090,4622,1,1459,user_0,BOOKMARK,externalResources_6570
2091,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2092,4622,1,1486,user_0,BOOKMARK,externalResources_8083
2093,4622,1,1519,user_0,BOOKMARK,externalResources_9600
2094,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2095,4622,1,1321,user_0,BOOKMARK,externalResources_11621
2096,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2097,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2098,4622,1,1486,user_0,BOOKMARK,externalResources_8083
2099,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2100,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2101,4622,1,1485,user_0,BOOKMARK,externalResources_7941
2102,4622,1,1321,user_0,BOOKMARK,externalResources_11621
2103,4622,1,1312,user_0,BOOKMARK,externalResources_11221
2104,4622,1,1526,user_0,BOOKMARK,externalResources_9751
2105,4622,1,1312,user_0,BOOKMARK,externalResources_11221
2106,4622,1,1489,user_0,BOOKMARK,externalResources_8284
2107,4622,1,1459,user_0,BOOKMARK,externalResources_6570
2108,4622,1,1348,user_0,BOOKMARK,externalResources_13116
2109,4622,1,1448,user_0,BOOKMARK,externalResources_6136
2110,4622,1,1476,user_0,BOOKMARK,externalResources_7363
2111,4622,1,1321,user_0,BOOKMARK,externalResources_11621
2112,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2113,4622,1,1321,user_0,BOOKMARK,externalResources_11621
2114,4622,1,1526,user_0,BOOKMARK,externalResources_9751
2115,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2116,4622,1,1301,user_0,BOOKMARK,externalResources_10521
2117,4622,1,1458,user_0,BOOKMARK,externalResources_6539
2118,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2119,4622,1,1348,user_0,BOOKMARK,externalResources_13116
2120,4622,1,1321,user_0,BOOKMARK,externalResources_11621
2121,4622,1,1486,user_0,BOOKMARK,externalResources_8083
2122,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2123,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2124,4622,1,1518,user_0,BOOKMARK,externalResources_9460
2125,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2126,4622,1,1486,user_0,BOOKMARK,externalResources_8083
2127,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2128,4622,1,1526,user_0,BOOKMARK,externalResources_9751
2129,4622,1,1429,user_0,BOOKMARK,externalResources_5140
2130,4622,1,1498,user_0,BOOKMARK,externalResources_8451
2131,4622,1,1287,user_0,BOOKMARK,externalResources_10052
2132,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2133,4622,1,1351,user_0,BOOKMARK,externalResources_13258
2134,4622,1,1512,user_0,BOOKMARK,externalResources_9137
2135,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2136,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2137,4622,1,1489,user_0,BOOKMARK,externalResources_8284
2138,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2139,4622,1,1354,user_0,BOOKMARK,externalResources_13357
2140,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2141,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2142,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2143,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2144,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2145,4622,1,1476,user_0,BOOKMARK,externalResources_7363
2146,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2147,4622,1,1498,user_0,BOOKMARK,externalResources_8451
2148,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2149,4622,1,1354,user_0,BOOKMARK,externalResources_13357
2150,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2151,4622,1,1348,user_0,BOOKMARK,externalResources_13116
2152,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2153,4622,1,1526,user_0,BOOKMARK,externalResources_9751
2154,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2155,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2156,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2157,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2158,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2159,4622,1,1354,user_0,BOOKMARK,externalResources_13357
2160,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2161,4622,1,1501,user_0,BOOKMARK,externalResources_8611
2162,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2163,4622,1,1354,user_0,BOOKMARK,externalResources_13357
2164,4622,1,1287,user_0,BOOKMARK,externalResources_10052
2165,4622,1,1463,user_0,BOOKMARK,externalResources_6771
2166,4622,1,1351,user_0,BOOKMARK,externalResources_13258
2167,4622,1,1476,user_0,BOOKMARK,externalResources_7363
2168,4622,1,1518,user_0,BOOKMARK,externalResources_9460
2169,4622,1,1483,user_0,BOOKMARK,externalResources_7797
2170,4622,1,1287,user_0,BOOKMARK,externalResources_10052
2171,4622,1,1486,user_0,BOOKMARK,externalResources_8083
2172,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2173,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2174,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2175,4622,1,1518,user_0,BOOKMARK,externalResources_9460
2176,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2177,4622,1,1521,user_0,BOOKMARK,externalResources_9653
2178,4622,1,1331,user_0,BOOKMARK,externalResources_12346
2179,4622,1,1498,user_0,BOOKMARK,externalResources_8451
2180,4622,1,1459,user_0,BOOKMARK,externalResources_6570
2181,4622,1,1518,user_0,BOOKMARK,externalResources_9460
2182,4622,1,1439,user_0,BOOKMARK,externalResources_5604
2183,4622,1,1498,user_0,BOOKMARK,externalResources_8451
2184,4622,1,1498,user_0,BOOKMARK,externalResources_8451
2185,4622,1,1518,user_0,BOOKMARK,externalResources_9460
2186,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2187,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2188,4622,1,1287,user_0,BOOKMARK,externalResources_10052
2189,4622,1,1289,user_0,BOOKMARK,externalResources_10086
2190,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2191,4622,1,1330,user_0,BOOKMARK,externalResources_12176
2192,4622,1,1295,user_0,BOOKMARK,externalResources_10281
2193,4622,1,1333,user_0,BOOKMARK,externalResources_12429
2194,4622,1,1486,user_0,BOOKMARK,externalResources_8083
